iter	Passed	Remaining
0	123	123084
1	215	107365
2	301	100249
3	388	96675
4	479	95444
5	567	93990
6	658	93411
7	745	92471
8	835	92030
9	925	91605
10	1017	91467
11	1104	90936
12	1193	90642
13	1281	90274
14	1369	89904
15	1455	89538
16	1550	89632
17	1639	89460
18	1735	89603
19	1824	89398
20	1915	89321
21	2000	88941
22	2094	88950
23	2179	88639
24	2271	88603
25	2361	88478
26	2454	88468
27	2541	88241
28	2633	88161
29	2723	88046
30	2813	87957
31	2899	87713
32	2986	87506
33	3076	87399
34	3171	87446
35	3257	87219
36	3349	87167
37	3437	87032
38	3526	86908
39	3612	86707
40	3698	86517
41	3787	86385
42	3871	86172
43	3956	85962
44	4047	85905
45	4129	85644
46	4217	85513
47	4303	85355
48	4385	85109
49	4470	84942
50	4558	84820
51	4637	84543
52	4732	84565
53	4810	84264
54	4897	84145
55	4974	83862
56	5055	83633
57	5136	83428
58	5226	83363
59	5306	83129
60	5395	83053
61	5480	82920
62	5567	82801
63	5652	82663
64	5747	82679
65	5828	82479
66	5917	82396
67	6001	82249
68	6079	82035
69	6168	81951
70	6253	81830
71	6339	81714
72	6429	81647
73	6521	81612
74	6616	81608
75	6702	81494
76	6784	81327
77	6868	81186
78	6944	80962
79	7024	80778
80	7111	80680
81	7188	80481
82	7269	80320
83	7350	80159
84	7414	79817
85	7490	79607
86	7573	79483
87	7657	79360
88	7738	79208
89	7831	79188
90	7904	78962
91	7983	78796
92	8064	78648
93	8145	78510
94	8215	78265
95	8293	78100
96	8367	77892
97	8446	77740
98	8520	77547
99	8596	77369
100	8679	77259
101	8763	77153
102	8847	77051
103	8913	76794
104	8987	76610
105	9077	76558
106	9155	76408
107	9235	76279
108	9313	76132
109	9387	75950
110	9465	75806
111	9534	75597
112	9607	75411
113	9688	75295
114	9764	75141
115	9846	75033
116	9920	74868
117	10006	74790
118	10109	74843
119	10188	74714
120	10256	74507
121	10331	74349
122	10408	74216
123	10479	74034
124	10563	73945
125	10640	73807
126	10721	73696
127	10791	73518
128	10862	73340
129	10947	73262
130	11019	73099
131	11092	72940
132	11174	72845
133	11248	72694
134	11327	72582
135	11395	72395
136	11484	72345
137	11570	72273
138	11643	72120
139	11709	71927
140	11791	71834
141	11871	71732
142	11941	71564
143	12024	71476
144	12114	71433
145	12184	71268
146	12248	71077
147	12318	70915
148	12395	70794
149	12485	70752
150	12565	70648
151	12638	70510
152	12715	70391
153	12803	70337
154	12879	70215
155	12957	70104
156	13030	69964
157	13124	69943
158	13220	69928
159	13290	69774
160	13365	69649
161	13455	69602
162	13523	69444
163	13613	69397
164	13695	69306
165	13782	69246
166	13862	69148
167	13941	69041
168	14030	68989
169	14111	68895
170	14187	68778
171	14283	68761
172	14358	68637
173	14442	68558
