dataset,run,A1,A2,A3,A4,A5,A6,A7,A8,A9,_c7_kept,A10,ridge,lam,anchor,prior
geant,0,0.0008545949154731398,0.0009253161161377613,0.000922710344308934,0.0007353017963396924,,0.0007409834588081971,,0.0007384681783292475,0.0007384681783292475,False,0.0009228229561553445,10.0,1.0,0.3,uniform
geant,1,0.0008545949154731398,0.0009188857914670164,0.0009163646899143213,0.0007379518089752181,,0.0007437670101234028,,0.0007409944607119713,0.0007637555908480728,True,0.0009165052599907617,10.0,1.0,0.3,uniform
geant,2,0.0008545949154731398,0.0009179639836287149,0.0009154965608071716,0.0007410550799093244,,0.0007461732258679969,,0.0007422119634796765,0.0007422119634796765,False,0.0009156016154385599,10.0,0.9995,0.3,uniform
geant,3,0.0008545949154731398,0.0009150824731666766,0.0009125237080785164,0.0007406797466512779,,0.0007462940072743888,,0.0007421924963215379,0.0007583718188561643,True,0.0009126098190987208,10.0,0.9995,0.3,uniform
geant,4,0.0008545949154731398,0.0009168882417926868,0.0009146361876012359,0.0007385343507755736,,0.0007441249659438084,,0.0007413053422291268,0.0007413053422291268,False,0.0009147944447413676,10.0,1.0,0.3,uniform
geant,5,0.0008545949154731398,0.0009162056753362835,0.0009137817174907376,0.0007404797685743911,,0.0007462480193202115,,0.0007410200315685405,0.0007410200315685405,False,0.0009138034799352182,10.0,0.999,0.3,uniform
geant,6,0.0008545949154731398,0.0009161244574277373,0.0009137564566685158,0.0007402460360429385,,0.0007455928021986045,,0.0007426842695896525,0.0007426842695896525,False,0.0009139310292050377,10.0,1.0,0.3,uniform
geant,7,0.0008545949154731398,0.000916391265534532,0.0009139463504785134,0.0007327886967962303,,0.0007382474679158012,,0.0007355952163013992,0.0007460802433453374,True,0.0009140866737048245,10.0,1.0,0.3,uniform
geant,8,0.0008545949154731398,0.0009206218756122312,0.0009181405077222042,0.0007356481890236137,,0.0007414685673029006,,0.0007387333362574361,0.0007765000470958387,True,0.0009182612838354399,10.0,1.0,0.3,uniform
geant,9,0.0008545949154731398,0.0009168730114458949,0.0009144154521021573,0.0007388014088762083,,0.0007443839169054576,,0.0007414218839887813,0.0007594071951834663,True,0.000914553008471161,10.0,1.0,0.3,uniform
