dataset,run,A1,A2,A3,A4,A5,A6,A7,A8,A9,_c7_kept,A10,ridge,lam,anchor
sdn,0,0.026554491575457775,0.0055214299764828265,0.004495653351291119,0.00952868553091508,,0.0043335694200974835,,0.004331054006315845,0.003926810371531573,True,0.004065989387143793,0.001,1.0,0.3
sdn,1,0.026554491575457775,0.005589644410913755,0.00456174089902032,0.009753321666223063,,0.004432895832140669,,0.00443691194864342,0.0040524839278116825,True,0.00413076696551054,0.001,1.0,0.3
sdn,2,0.026554491575457775,0.005630478011982996,0.004573281653643694,0.009732410453832155,,0.004421545803852137,,0.0044185842423872645,0.003997015457243433,True,0.004129776004699916,0.001,1.0,0.3
sdn,3,0.026554491575457775,0.005546990732036824,0.004489312085258477,0.009697752490400805,,0.004334255479945284,,0.0043316846178277435,0.003921776351447291,True,0.004061097285523396,0.001,1.0,0.3
sdn,4,0.026554491575457775,0.0055203159175263965,0.004537197442842565,0.009741556498201616,,0.004388860726385991,,0.004392374496200823,0.003972018128358935,True,0.004060500406605898,0.001,1.0,0.3
sdn,5,0.026554491575457775,0.005519136019342354,0.004507991054963473,0.009663630794747255,,0.004356196565808456,,0.004354879392803029,0.003954059439668408,True,0.004070850249183311,0.001,1.0,0.3
sdn,6,0.026554491575457775,0.005511882043538292,0.004518052975372352,0.009656358071687347,,0.0043629580116755365,,0.004358271144758318,0.003979310157302876,True,0.004087353501241857,0.001,1.0,0.3
sdn,7,0.026554491575457775,0.0056270609234794515,0.0045726066909495214,0.009638614623858953,,0.00444629223787262,,0.0044513848741389505,0.004069963808471999,True,0.004144743998024857,0.001,1.0,0.3
sdn,8,0.026554491575457775,0.005522987399328594,0.004507544112013431,0.0096578116919725,,0.004381187522563741,,0.004379796968375621,0.004019551335717119,True,0.004079493683683998,0.0001,1.0,0.3
sdn,9,0.026554491575457775,0.005561107218808005,0.004527518885320592,0.009680647312524639,,0.00437850214506035,,0.004379070109432762,0.003980741327233701,True,0.004086932296127032,0.001,1.0,0.3
